***playlist*** | SongShift | 02-23-2025 09:15 | 2025.02.23 |  | Spotify | 1Aw8n1VCxEfADnymJyihF6
Easy | Faith No More | Angel Dust (Deluxe Edition) |  spotify | 4Y3WqmBWmG23thvU9xEhMv
Sweet Child O' Mine | Sheryl Crow | The Globe Sessions |  spotify | 0273i5ysrlovK8rr0KJfQn
Torn - Acoustic MTV Unplugged | Natalie Imbruglia | Torn/Wishing I Was There |  spotify | 1iPvdHIQQSNJ4iRm92Bcbx
Just Breathe - acoustic at home | Eddie Vedder | Matter of Time |  spotify | 7ymjj8XtifcKzdebJ5uJBk
More Than This | 10,000 Maniacs | Love Among The Ruins |  spotify | 5v6b9RUk83Z33shcsqt1m3
Never Tear Us Apart | Joe Cocker | Respect Yourself |  spotify | 6NCMnLKIFo93GHlNlW89KA
Sweetest Thing | U2 | The Joshua Tree (Super Deluxe) |  spotify | 7ndGFo9nZ108KPgXtfYWCe
Times Like These - Acoustic Version | Foo Fighters | 00020225 |  spotify | 1pXgBjIvALm97lDhroan2E
Plush - Acoustic | Stone Temple Pilots | Thank You |  spotify | 3ftHrCjsTUPLgI48m67byk
Personal Jesus - Acoustic | Depeche Mode | Violator | The 12" Singles |  spotify | 3mHj3cBY3bKYuMb3z0lRVS
