***playlist*** | SongShift | 06-23-2025 09:33 | 2025.06.23 |  | Spotify | 5OBTiHz3yc9gJFVwDlDYFn
Strange Currencies - Remix | R.E.M. | Monster (25th Anniversary Edition) |  spotify | 5p7u8LrRF585A9NAuyiA3S
The Whole of the Moon - 2004 Remaster | The Waterboys | This Is the Sea (Deluxe Version) |  spotify | 1LzFh1VZ0FLeUesOFEuhyl
Because the Night - Live Unplugged | 10,000 Maniacs | MTV Unplugged (Live) |  spotify | 5VzvK7YiwWbRePA2JOzhYq
Enjoy the Silence | Depeche Mode | Violator | The 12" Singles |  spotify | 0yp3TvJNlG50Q4tAHWNCRm
Everybody Wants To Rule The World | Tears For Fears | Songs From The Big Chair (Super Deluxe Edition) |  spotify | 4RvWPyQ5RL0ao9LPZeSouE
Who Can It Be Now? | Men At Work | Business As Usual |  spotify | 5rfJ2Bq2PEL8yBjZLzouEu
Common People - Full Length Version | Pulp | Different Class |  spotify | 2fXKyAyPrEa24c6PJyqznF
It's My Life - 1997 Remaster | Talk Talk | It's My Life |  spotify | 4jhsuQCUCJKA5f0bXb6XdJ
Back on the Chain Gang - 2007 Remaster | Pretenders | Learning to Crawl (Expanded & Remastered) |  spotify | 4cMHCRLPNoEbpnl2rz6GS9
Heroes - 2017 Remaster | David Bowie | "Heroes" (2017 Remaster) |  spotify | 7Jh1bpe76CNTCgdgAdBw4Z
