***playlist*** | SongShift | 07-20-2025 13:05 | Dinosaur Jr. Summer Setlist |  | Spotify | 02Z0tzTp3sFrOGkce2eE9b
Severed Lips | Dinosaur Jr. | Dinosaur |  spotify | 5S4dff9BWqROe8WbmtxsgG
In a Jar | Dinosaur Jr. | You're Living All Over Me |  spotify | 7CGCtE7X2QNH2jeBroGqDq
Garden | Dinosaur Jr. | Sweep It Into Space |  spotify | 3ZkURqO753fN0SgtzqMmIs
Kracked | Dinosaur Jr. | You're Living All Over Me |  spotify | 0R4l2uRfvKmalvsl6XJtrm
I Ain't | Dinosaur Jr. | Sweep It Into Space |  spotify | 4NAez3fMveo7XiWPtFYzMK
Little Fury Things | Dinosaur Jr. | You're Living All Over Me |  spotify | 1DKTXW8RFn6c1yYRQAPlGP
Grab It - 2019 Remaster | Dinosaur Jr. | Without A Sound (2019 Expanded & Remastered Edition) |  spotify | 5G4eHAVrHd18o3s2RSgSfF
Pieces | Dinosaur Jr. | Farm |  spotify | 4A0mCBoFkly7FMiReiYDy3
Watch the Corners | Dinosaur Jr. | I Bet On Sky |  spotify | 44KwU2Jm6KYuxUxKfJ2DUB
Out There - 2019 Remaster | Dinosaur Jr. | Where You Been (2019 Expanded & Remastered Edition) |  spotify | 51dMxi2LYdlbQYLuvbvq9o
Feel The Pain - 2019 Remaster | Dinosaur Jr. | Without A Sound (2019 Expanded & Remastered Edition) |  spotify | 0kFpJQD2wp6MZOZ7hW1Ob8
Does It Float | Dinosaur Jr. | Dinosaur |  spotify | 7K9F3ob3ssnoPVZ28Xw3wA
Freak Scene | Dinosaur Jr. | Bug |  spotify | 7FIhuHZUdUxWX2hDMGdIbF
Gargoyle | Dinosaur Jr. | Dinosaur |  spotify | 2IMDgVgp3r8qhpexQxeSVJ
Start Choppin - 2019 Remaster | Dinosaur Jr. | Where You Been (2019 Expanded & Remastered Edition) |  spotify | 3GsIFYRu87jx985rPczI8Z
Just Like Heaven | Dinosaur Jr. | You're Living All Over Me |  spotify | 69u4YVuqKoVp3nZmpyxC8I
