***playlist*** | SongShift | 04-09-2025 07:52 | Dropkick Murphys Summer of Discontent |
Who'll Stand With Us? | Dropkick Murphys |
The State of Massachusetts | Dropkick Murphys |
Finnegan's Wake | Dropkick Murphys |
The Boys Are Back | Dropkick Murphys |
Longshot | Dropkick Murphys |
Barroom Hero | Dropkick Murphys |
Out of Our Heads | Dropkick Murphys |
Chesterfields & Aftershave | Dropkick Murphys |
Middle Finger | Dropkick Murphys |
Good as Gold | Dropkick Murphys |
Rippin Up the Boundary Line | Dropkick Murphys |
Caught in a Jar | Dropkick Murphys |
School Days Over | Dropkick Murphys |
Johnny, I Hardly Knew Ya | Dropkick Murphys |
Bury the Bones | Dropkick Murphys |
Walk Away | Dropkick Murphys |
Rose Tattoo | Dropkick Murphys |
Worker's Song | Dropkick Murphys |
I'm Shipping Up to Boston | Dropkick Murphys |
The Big Man | Dropkick Murphys |
