***playlist*** | SongShift | 05-16-2025 12:38 | Springsteen: Foxtrot Delta Tango |  | Spotify | 19j8Nuj7MtQYSLyxk3WWoT
The Rising | Bruce Springsteen | The Rising |  spotify | 2czBvzOv3TvnyoW7Ozo7fP
The Ghost of Tom Joad | Bruce Springsteen | The Ghost Of Tom Joad |  spotify | 4RaxnzmTN4bojbbEYtvXjk
Born in the U.S.A. | Bruce Springsteen | Born In The U.S.A. |  spotify | 0dOg1ySSI7NkpAe89Zo0b9
Streets of Philadelphia - Single Edit | Bruce Springsteen | Greatest Hits |  spotify | 3fbnbn6A5O5RNb08tlUEgd
Johnny 99 | Bruce Springsteen | Nebraska |  spotify | 2ohcpZDvcIRdCE3lWxu6Tc
Long Walk Home | Bruce Springsteen | Magic |  spotify | 41RlTAAmlNhuhPx8rPZlDS
Lost in the Flood | Bruce Springsteen | Greetings from Asbury Park, N.J. |  spotify | 4x8vfPspwVPHRh7LGf7Whg
American Skin (41 Shots) - Studio Version | Bruce Springsteen | High Hopes |  spotify | 4fpgB0FJiQ2bH7SVBHcT7j
We Are Alive | Bruce Springsteen | Wrecking Ball |  spotify | 63ge5ihHVtpxiY7Hpfm1sR
War - Live at LA Coliseum, Los Angeles, CA - September 1985 | Bruce Springsteen | Bruce Springsteen & The E Street Band Live 1975-85 |  spotify | 1sTeIjsjonMTTQyffRgehj
We Take Care of Our Own | Bruce Springsteen | Wrecking Ball |  spotify | 4KGbQXQ8HKVypeKJslxQtH
No Surrender - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984 | Bruce Springsteen | Bruce Springsteen & The E Street Band Live 1975-85 |  spotify | 6CjcVKEAKpcA4rjQWvX3CK
Independence Day | Bruce Springsteen | The River |  spotify | 4T4e06YhupuZAoln2qZ6Fa
My Hometown - Live at the Walter Kerr Theatre, New York, NY - July 2018 | Bruce Springsteen | Springsteen on Broadway |  spotify | 7G7UNs17d0Grqk63M2MAwu
Better Days | Bruce Springsteen | Lucky Town |  spotify | 27JhdyVLc45QD9CCErgOuT
