***playlist*** | SongShift | 08-12-2025 12:44 | Summer of Discontent Setlist | n/a | Apple Music | pl.u-WapLPTb38Ll
Recipe for Hate | Bad Religion | Recipe for Hate |  applemusic | 1485011078
Supersonic | Bad Religion | The Process of Belief |  applemusic | 1485040387
You Are (The Government) | Bad Religion | Suffer |  applemusic | 1485042126
Candidate | Bad Religion | Age of Unreason |  applemusic | 1485074620
No Control | Bad Religion | No Control |  applemusic | 1485042100
Struck a Nerve | Bad Religion | Recipe for Hate |  applemusic | 1485011086
New Dark Ages | Bad Religion | New Maps of Hell (Deluxe Edition) |  applemusic | 1485044108
Modern Man | Bad Religion | Against the Grain (Remastered) |  applemusic | 1485041998
My Sanity | Bad Religion | Age of Unreason |  applemusic | 1485074524
I Want to Conquer the World | Bad Religion | Punk - O - Rama, Vol. 6 |  applemusic | 1485033751
F**k Armageddon...This Is Hell | Bad Religion | More Songs About Anger, Fear, Sex & Death |  applemusic | 1485041189
Fields of Mars | Bad Religion | New Maps of Hell (Deluxe Edition) |  applemusic | 1485044128
Do What You Want | Bad Religion | Suffer |  applemusic | 1485042138
True North | Bad Religion | True North |  applemusic | 1485057009
Atomic Garden | Bad Religion | More Songs About Anger, Fear, Sex & Death |  applemusic | 1485041014
We're Only Gonna Die | Bad Religion | All Ages |  applemusic | 1485035169
Generator | Bad Religion | Generator |  applemusic | 1485041944
You | Bad Religion | Punk-O-Rama, Vol. 3 |  applemusic | 1485053356
21st Century (Digital Boy) | Bad Religion | Stranger Than Fiction |  applemusic | 1485011864
Infected | Bad Religion | Stranger Than Fiction |  applemusic | 1485011856
Cease | Bad Religion | The Gray Race |  applemusic | 1485012031
Anesthesia | Bad Religion | More Songs About Anger, Fear, Sex & Death |  applemusic | 1485041173
Sorrow | Bad Religion | The Process of Belief |  applemusic | 1485040394
American Jesus | Bad Religion | Recipe for Hate |  applemusic | 1485011080
Who'll Stand With Us? | Dropkick Murphys | For The People |  applemusic | 1817396314
The State of Massachusetts | Dropkick Murphys | The Meanest of Times (Deluxe Edition) |  applemusic | 263517042
Finnegan's Wake | Dropkick Murphys | Do or Die |  applemusic | 1485047520
The Boys Are Back | Dropkick Murphys | Signed and Sealed In Blood (Deluxe Version) |  applemusic | 578507405
Longshot (feat. The Scratch) | Dropkick Murphys | For The People |  applemusic | 1817396324
Barroom Hero | Dropkick Murphys | Do or Die |  applemusic | 1485047517
Out of Our Heads | Dropkick Murphys | Signed and Sealed In Blood (Deluxe Version) |  applemusic | 578507735
Chesterfields and Aftershave | Dropkick Murphys | For The People |  applemusic | 1817396542
Middle Finger | Dropkick Murphys | Turn Up That Dial (Expanded Version) |  applemusic | 1611651403
Good As Gold | Dropkick Murphys | Turn Up That Dial (Expanded Version) |  applemusic | 1611652067
Rippin Up the Boundary Line (feat. Jesse Ahern) | Dropkick Murphys | Okemah Rising |  applemusic | 1669401698
Caught in a Jar | Dropkick Murphys | Do or Die |  applemusic | 1485047512
School Days Over (feat. Billy Bragg) | Dropkick Murphys | For The People |  applemusic | 1817396700
Walk Away | Dropkick Murphys | Blackout |  applemusic | 1485049774
Johnny, I Hardly Knew Ya | Dropkick Murphys | The Meanest of Times (Deluxe Edition) |  applemusic | 263518308
Bury the Bones (feat. The Mary Wallopers) | Dropkick Murphys | For The People |  applemusic | 1817396558
Rose Tattoo | Dropkick Murphys | Signed and Sealed In Blood (Deluxe Version) |  applemusic | 578507407
Worker's Song (Live At Ryman Auditorium) | Dropkick Murphys | Live At Ryman Auditorium - Single |  applemusic | 1707917474
I'm Shipping Up To Boston (Tulsa Version) | Dropkick Murphys | Okemah Rising |  applemusic | 1669402255
The Big Man | Dropkick Murphys | For The People |  applemusic | 1817396328
