***playlist*** | SongShift | 04-09-2025 07:52 | Bad Religion Summer of Discontent |
Recipe for Hate | Bad Religion |
Supersonic | Bad Religion |
You Are (the Government) | Bad Religion |
Candidate | Bad Religion |
No Control | Bad Religion |
Struck a Nerve | Bad Religion |
New Dark Ages | Bad Religion |
Modern Man | Bad Religion |
My Sanity | Bad Religion |
I Want to Conquer the World | Bad Religion |
Fuck Armageddon... This Is Hell | Bad Religion |
Fields of Mars | Bad Religion |
Do What You Want | Bad Religion |
True North | Bad Religion |
Atomic Garden | Bad Religion |
We're Only Gonna Die | Bad Religion |
Generator | Bad Religion |
You | Bad Religion |
21st Century (Digital Boy) | Bad Religion | 
Infected | Bad Religion |
Cease | Bad Religion |
Anesthesia | Bad Religion |
Sorrow | Bad Religion |
American Jesus | Bad Religion |
