Mystery Dance | Elvis Costello |
Watching the Detectives | Elvis Costello |
Green Shirt | Elvis Costello |
Waiting for the End of the World | Elvis Costello |
Less Than Zero | Elvis Costello |
Little Triggers | Elvis Costello |
Lovers Walk | Elvis Costello |
King Horse | Elvis Costello |
Opportunity | Elvis Costello |
Accidents Will Happen | Elvis Costello |
Lipstick Vogue | Elvis Costello |
No Action | Elvis Costello |
Poisoned Rose | Elvis Costello |
Blood & Hot Sauce | Elvis Costello |
Deportee | Elvis Costello |
Brilliant Mistake | Elvis Costello |
(The Angels Wanna Wear My) Red Shoes | Elvis Costello |
Clubland / Ghost Town | Elvis Costello |
Everyday I Write the Book | Elvis Costello |
Radio Radio | Elvis Costello |
High Fidelity | Elvis Costello |
Heart of the City | Elvis Costello |
(I Don't Want to Go to) Chelsea | Elvis Costello |
Pump It Up | Elvis Costello |
(What's So Funny 'Bout) Peace, Love and Understanding | Elvis Costello |
Alison | Elvis Costello |
I Want You | Elvis Costello |
Nellie the Elephant | Elvis Costello |

